"filename", "language", "XML", "Batch", "Properties", "Swift", "JSON", "C++", "Ruby", "Markdown", "Objective-C", "comment", "blank", "total"
"/Users/anja/Documents/GitHub/masterthesis/kotlin-multiplatform/monstradore/iosApp/iosApp/hardwarefunctions/ImagePickerView.swift", "Swift", 0, 0, 0, 25, 0, 0, 0, 0, 0, 7, 15, 47
"/Users/anja/Documents/GitHub/masterthesis/kotlin-multiplatform/monstradore/iosApp/iosApp/iOSApp.swift", "Swift", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/anja/Documents/GitHub/masterthesis/kotlin-multiplatform/monstradore/iosApp/iosApp/inputmethods/InputMethodsView.swift", "Swift", 0, 0, 0, 19, 0, 0, 0, 0, 0, 12, 4, 35
"/Users/anja/Documents/GitHub/masterthesis/kotlin-multiplatform/monstradore/iosApp/iosApp/interactiondesign/InteractionDesignView.swift", "Swift", 0, 0, 0, 15, 0, 0, 0, 0, 0, 12, 4, 31
"/Users/anja/Documents/GitHub/masterthesis/kotlin-multiplatform/monstradore/iosApp/iosApp/multimedia/MultimediaView.swift", "Swift", 0, 0, 0, 32, 0, 0, 0, 0, 0, 12, 5, 49
"/Users/anja/Documents/GitHub/masterthesis/kotlin-multiplatform/monstradore/iosApp/iosApp/navigation/NavigationElementsView.swift", "Swift", 0, 0, 0, 32, 0, 0, 0, 0, 0, 12, 6, 50
"/Users/anja/Documents/GitHub/masterthesis/kotlin-multiplatform/monstradore/iosApp/iosApp/networkcall/NetworkCallView.swift", "Swift", 0, 0, 0, 20, 0, 0, 0, 0, 0, 12, 4, 36
"/Users/anja/Documents/GitHub/masterthesis/kotlin-multiplatform/monstradore/iosApp/iosApp/objects/ObjectView.swift", "Swift", 0, 0, 0, 12, 0, 0, 0, 0, 0, 12, 4, 28
"/Users/anja/Documents/GitHub/masterthesis/kotlin-multiplatform/monstradore/iosApp/iosApp/performance/PerformanceView.swift", "Swift", 0, 0, 0, 40, 0, 0, 0, 0, 0, 12, 5, 57
"/Users/anja/Documents/GitHub/masterthesis/kotlin-multiplatform/monstradore/iosApp/iosApp/persistence/PersistenceView.swift", "Swift", 0, 0, 0, 26, 0, 0, 0, 0, 0, 12, 4, 42
"/Users/anja/Documents/GitHub/masterthesis/kotlin-multiplatform/monstradore/iosApp/iosApp/uiux/AndroidElementsView.swift", "Swift", 0, 0, 0, 8, 0, 0, 0, 0, 0, 12, 4, 24
"/Users/anja/Documents/GitHub/masterthesis/kotlin-multiplatform/monstradore/iosApp/iosApp/uiux/UIElementsView.swift", "Swift", 0, 0, 0, 141, 0, 0, 0, 0, 0, 12, 9, 162
"/Users/anja/Documents/GitHub/masterthesis/kotlin-multiplatform/monstradore/iosApp/iosApp/uiux/iOSElementsView.swift", "Swift", 0, 0, 0, 39, 0, 0, 0, 0, 0, 12, 6, 57
"/Users/anja/Documents/GitHub/masterthesis/kotlin-multiplatform/monstradore/shared/shared.podspec", "Ruby", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 4, 39
"/Users/anja/Documents/GitHub/masterthesis/kotlin-multiplatform/monstradore/shared/src/androidMain/AndroidManifest.xml", "XML", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"Total", "-", 74, 68, 12, 830, 191, 13, 35, 3, 5, 280, 211, 1722
