"filename", "language", "JavaScript", "Batch", "JSON", "Groovy", "Properties", "Objective-C", "Objective-C++", "C++", "XML", "Java", "comment", "blank", "total"
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/babel.config.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/camera/CameraScreen.js", "JavaScript", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 80
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/camera/CaptureButton.js", "JavaScript", 265, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 22, 309
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/fileaccess/FileAccessScreen.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 63
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/fingerprint/FingerprintScreen.js", "JavaScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 38
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/gestures/GesturesScreen.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/gps/GPSScreen.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 31
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/index.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 10
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/inputmethods/InputMethodsScreen.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 41
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/interactiondesign/InteractionDesignScreen.js", "JavaScript", 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 132
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/ios/monstradore/AppDelegate.h", "C++", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 4, 9
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/ios/monstradore/AppDelegate.mm", "Objective-C++", 0, 0, 0, 0, 0, 0, 99, 0, 0, 0, 6, 29, 134
