"filename", "language", "JavaScript", "comment", "blank", "total"
"/Users/anja/Documents/GitHub/masterthesis/react-native/monstradore/camera/CameraScreen.js", "JavaScript", 15, 0, -3, 12
"Total", "-", 15, 0, -3, 12
